0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:16 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:16 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:16 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:17 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:57:50 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:57:50 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:10 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:10 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:38 +0530] "GET /E-BookApp/admin/add_book.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:38 +0530] "GET /E-BookApp/login.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:39 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:51 +0530] "POST /E-BookApp/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:51 +0530] "GET /E-BookApp/admin/home.jsp HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:51 +0530] "GET /E-BookApp/admin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:58:56 +0530] "GET /E-BookApp/admin/add_book.jsp HTTP/1.1" 200 6173
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:59:50 +0530] "POST /E-BookApp/add_book HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:59:50 +0530] "GET /E-BookApp/admin/add_book.jsp HTTP/1.1" 200 6262
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:00:11 +0530] "POST /E-BookApp/add_book HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:00:11 +0530] "GET /E-BookApp/admin/add_book.jsp HTTP/1.1" 200 6262
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:00:15 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:00:15 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:00:15 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 200 894232
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:00:16 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 200 2801096
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:15:49 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:15:49 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:15:49 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:15:49 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:18:10 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:18:10 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:18:10 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:18:10 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:19:04 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6198
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:19:04 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:08 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:08 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:08 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:08 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:10 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:10 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:11 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:11 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:11 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:11 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:39 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6282
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:39 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:56 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:20:56 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:21:34 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:21:34 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:21:53 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:21:53 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:01 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:01 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:25 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:25 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:25 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:25 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:31 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:32 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:38 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:38 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:44 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:22:44 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:23:58 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6172
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:23:58 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:14 +0530] "GET /E-BookApp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:14 +0530] "GET /E-BookApp/login.jsp HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:14 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:24 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 9747
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:25 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:40 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 9747
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:40 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:40 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:24:40 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:25:15 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:25:15 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:25:20 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:25:20 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:25:28 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 9751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:25:28 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:20 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:20 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:20 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:20 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:47 +0530] "GET /E-BookApp/admin/login.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:55 +0530] "GET /E-BookApp/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:29:55 +0530] "GET /E-BookApp/admin/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [12/Aug/2023:07:30:18 +0530] "GET /E-BookApp/admin/add_book.jsp HTTP/1.1" 302 -
